Full-Text Downloads for 2013-11-01 through 2014-01-31 for Berkeley Law Scholarship Repository					
Title	URL	First published	11/1/2013	12/1/2013	1/1/2014
"Flemming v. Nestor: Anticommunism, the Welfare State, and the Making of New Property"	http://scholarship.law.berkeley.edu/facpubs/592	9/18/2012	17	8	1
Plea Bargaining in the Shadow of the Guidelines	http://scholarship.law.berkeley.edu/californialawreview/vol81/iss6/2	7/10/2012	17	24	4
Proposed Revision of the Mining Law with Respect to Discovery	http://scholarship.law.berkeley.edu/californialawreview/vol2/iss3/2	7/24/2012	17	2	0
Breaking the Ice:  The Canadian-American Dispute over the Arctic's Northwest Passage	http://scholarship.law.berkeley.edu/facpubs/1865	12/7/2012	17	13	2
Uncertainty and the Standard of Patentability	http://scholarship.law.berkeley.edu/facpubs/1556	9/20/2012	17	7	0
"A Penny for Their Thoughts: Employee-Inventors, Preinvention Assignment Agreements, Property, and Personhood"	http://scholarship.law.berkeley.edu/californialawreview/vol81/iss2/3	7/10/2012	17	13	0
"Religion, Theology, and Public Higher Education"	http://scholarship.law.berkeley.edu/californialawreview/vol50/iss5/1	7/19/2012	17	13	0
Digital Exhaustion	http://scholarship.law.berkeley.edu/facpubs/1246	9/18/2012	17	13	0
Income Tax: Taxability of Stock Dividends	http://scholarship.law.berkeley.edu/californialawreview/vol31/iss3/5	7/20/2012	17	16	1
Commercial Speech and First Amendment Theory	http://scholarship.law.berkeley.edu/facpubs/1467	9/20/2012	17	24	1
"Implied Warranties in Patent, Know-How and Technical Assistance Licensing Agreements"	http://scholarship.law.berkeley.edu/californialawreview/vol56/iss1/12	7/17/2012	17	26	1
Is West Virginia Unconstitutional	http://scholarship.law.berkeley.edu/californialawreview/vol90/iss2/1	7/10/2012	17	17	0
"Juvenile Courts, Family Courts, and the Poor Man"	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss2/14	7/17/2012	17	10	0
Summary Judgment in Antitrust Cases: Understanding Monsanto and Matsushita	http://scholarship.law.berkeley.edu/facpubs/846	9/18/2012	17	13	0
Rejecting Unreasonable Sexual Expectations: Limits on Using a Rape Victim's Sexual History to Show the Defendant's Mistaken Belief in Consent	http://scholarship.law.berkeley.edu/californialawreview/vol79/iss2/5	7/10/2012	17	15	1
Government Ownership and Trusteeship of Water	http://scholarship.law.berkeley.edu/californialawreview/vol45/iss5/4	7/19/2012	17	3	2
"Kant, Habermas and Democratic Peace"	http://scholarship.law.berkeley.edu/facpubs/42	9/17/2012	17	30	2
A New Domain for Public Speech: Opening Public Spaces Online	http://scholarship.law.berkeley.edu/californialawreview/vol94/iss6/4	7/9/2012	17	7	1
Why Plaintiffs Should Have to Prove Irreparable Harm in Copyright Preliminary Injunction Cases	http://scholarship.law.berkeley.edu/facpubs/1379	9/18/2012	17	17	0
Regulation of Companies with Publicly Listed Share Capital in the People's Republic of China	http://scholarship.law.berkeley.edu/facpubs/1864	12/7/2012	17	68	0
The Tripartite Credit Card Transaction: A Legal Infant	http://scholarship.law.berkeley.edu/californialawreview/vol48/iss3/5	7/19/2012	17	18	1
In re World War II Era Japanese Forced Labor Litigation and Obsticles to International Human Rights Claims in U.S. Courts	http://scholarship.law.berkeley.edu/aalj/vol10/iss2/5	9/10/2013	17	19	2
Environmental Citizen Suits: Three Years' Experience under the Michigan Environmental Protection Act	http://scholarship.law.berkeley.edu/facpubs/1108	9/18/2012	17	6	2
A Post-Racial Voting Rights Act	http://scholarship.law.berkeley.edu/bjalp/vol13/iss1/5	4/26/2013	17	7	1
Comments on the Probate Code of California	http://scholarship.law.berkeley.edu/californialawreview/vol19/iss6/2	7/24/2012	17	3	0
LesBiGay Identity as Commodity	http://scholarship.law.berkeley.edu/californialawreview/vol90/iss1/6	7/10/2012	17	12	0
Eminent Domain--Policy and Concept	http://scholarship.law.berkeley.edu/californialawreview/vol42/iss4/3	7/19/2012	17	15	1
The Void for Vagueness Rule in California	http://scholarship.law.berkeley.edu/californialawreview/vol41/iss3/8	7/19/2012	17	16	0
Excusing Women	http://scholarship.law.berkeley.edu/californialawreview/vol82/iss1/1	7/10/2012	17	7	1
"Globalism and the Constitution: Treaties, Non-Self-Execution, and the Original Understanding"	http://scholarship.law.berkeley.edu/facpubs/1762	9/20/2012	17	13	0
American Federalism and the Diffusion of Power: Historical and Contemporary Perspectives	http://scholarship.law.berkeley.edu/facpubs/1784	9/20/2012	17	16	0
Can Lawyers and Judges Be Good Historians: A Critical Examination of the Siemens Slave-Labor Cases	http://scholarship.law.berkeley.edu/bjil/vol20/iss1/5	9/24/2012	17	10	0
Negligence Actions by Police Officers and Firefighters: A Need for a Professional Rescuers Rule	http://scholarship.law.berkeley.edu/californialawreview/vol66/iss3/4	7/17/2012	17	7	0
Advocacy of Unlawful Conduct and the First Amendment: In Defense of Clear and Present Danger	http://scholarship.law.berkeley.edu/californialawreview/vol70/iss5/1	7/17/2012	17	8	1
Discovery of Documents and Things: The Federal Rules and the California Law	http://scholarship.law.berkeley.edu/californialawreview/vol42/iss5/6	7/19/2012	17	26	1
Antitrust Regulation within the European Economic Community	http://scholarship.law.berkeley.edu/facpubs/1285	9/18/2012	17	16	0
"Law, Morality, and Economics: Integrating Moral Constraints with Economic Analysis of Law"	http://scholarship.law.berkeley.edu/californialawreview/vol96/iss2/1	7/9/2012	17	18	4
Does the LSAT Mirror or Magnify Racial and Ethnic Differences in Educational Attainment: A Study of Equally Achieving Elite College Students	http://scholarship.law.berkeley.edu/californialawreview/vol89/iss4/3	7/10/2012	17	18	2
Reproductive Freedom and the Constitution: The Limits on Choice	http://scholarship.law.berkeley.edu/bglj/vol4/iss1/2	9/24/2013	17	14	0
Counterintuitive: Intelligence Operations and International Law	http://scholarship.law.berkeley.edu/facpubs/657	9/18/2012	17	15	0
Conflict and Compromise: The Shipping Act of 1984	http://scholarship.law.berkeley.edu/bjil/vol3/iss2/4	9/24/2012	17	17	1
Marvin v. Marvin: Preserving the Options	http://scholarship.law.berkeley.edu/californialawreview/vol65/iss5/2	7/17/2012	17	43	1
"International Disability Law - A New Legal Subject on the Rise: The Interregional Experts' Meeting in Hong Kong, December 13-17, 1999"	http://scholarship.law.berkeley.edu/bjil/vol18/iss1/5	9/24/2012	17	13	0
Tent Cities: An Interim Solution to Homelessness and Affordable Housing Shortages in the United States	http://scholarship.law.berkeley.edu/californialawreview/vol99/iss4/3	7/9/2012	17	35	0
Venue of Mixed Actions in California	http://scholarship.law.berkeley.edu/californialawreview/vol44/iss4/3	7/19/2012	17	17	1
Kissing God Goodbye or Who's in Charge - Poem in the Face of Operation Rescue	http://scholarship.law.berkeley.edu/bglj/vol9/iss1/1	9/24/2013	17	3	0
Quasi-Community Property in the Conflict of Laws	http://scholarship.law.berkeley.edu/californialawreview/vol50/iss2/2	7/19/2012	17	24	0
Author Autonomy and Atomism in Copyright Law	http://scholarship.law.berkeley.edu/facpubs/1744	9/20/2012	17	12	0
Collaborative Accreditation: Securing the Future of Historically Black Colleges	http://scholarship.law.berkeley.edu/bjalp/vol12/iss1/3	4/26/2013	17	3	1
"Antitrust, Deregulation, and the Newly Liberated Marketplace"	http://scholarship.law.berkeley.edu/californialawreview/vol75/iss3/15	7/10/2012	17	6	0
The Endangered Species Act: Static Law Meets Dynamic World	http://scholarship.law.berkeley.edu/facpubs/790	9/18/2012	17	14	1
"Rules, Principles, and the Competition to Enforce the Securities Law"	http://scholarship.law.berkeley.edu/californialawreview/vol100/iss1/3	7/6/2012	17	7	0
Campus Hate Speech Codes: Affirmative Action in the Allocation of Speech Rights	http://scholarship.law.berkeley.edu/californialawreview/vol83/iss2/5	7/10/2012	17	14	0
The Narratives of Chinese-American Litigation During the Chinese Exclusion Era	http://scholarship.law.berkeley.edu/aalj/vol19/iss1/6	9/11/2013	17	19	1
Racism in American Courts: Cause for Black Disruption or Despair	http://scholarship.law.berkeley.edu/californialawreview/vol61/iss1/4	7/17/2012	17	28	0
Owner-Architect-Contractor: Another Eternal Triangle	http://scholarship.law.berkeley.edu/californialawreview/vol47/iss4/2	7/19/2012	17	17	0
"Nazis, Skokie, and the First Amendment as Virtue"	http://scholarship.law.berkeley.edu/californialawreview/vol74/iss1/6	7/10/2012	17	20	1
Child Custody Disputes between Lesbians: Legal Strategies and Their Limitations	http://scholarship.law.berkeley.edu/bglj/vol10/iss1/5	9/24/2013	17	14	0
The Cost of Coase	http://scholarship.law.berkeley.edu/facpubs/84	9/17/2012	17	8	0
Notification of Data Security Breaches	http://scholarship.law.berkeley.edu/facpubs/28	9/17/2012	17	13	1
Declining Homicide in New York City: A Tale of Two Trends	http://scholarship.law.berkeley.edu/facpubs/1661	9/20/2012	17	11	2
Corporations and the Intertemporal Conflict of Laws	http://scholarship.law.berkeley.edu/facpubs/1193	9/18/2012	17	16	0
Victim Rights in Stolen Property in California	http://scholarship.law.berkeley.edu/californialawreview/vol64/iss4/6	7/17/2012	17	16	0
Critical Race Theory and Classical-Liberal Civil Rights Scholarship: A Distinction without a Difference	http://scholarship.law.berkeley.edu/californialawreview/vol82/iss4/2	7/10/2012	17	20	1
The Metaphysics of American Law	http://scholarship.law.berkeley.edu/californialawreview/vol73/iss4/3	7/10/2012	17	12	3
Spanish Community of Acquests and Gains and Its Adoption and Modification by the State of California	http://scholarship.law.berkeley.edu/californialawreview/vol1/iss1/3	7/24/2012	17	5	0
Abortion: When Choice and Autonomy Conflict	http://scholarship.law.berkeley.edu/bglj/vol20/iss1/13	9/24/2013	16	17	1
In Defense of Judicial Review: A Reply to Professor Kramer	http://scholarship.law.berkeley.edu/californialawreview/vol92/iss4/2	7/9/2012	16	3	0
Relative Access to Corrective Speech: A New Test for Requiring Actual Malice	http://scholarship.law.berkeley.edu/californialawreview/vol94/iss3/5	7/9/2012	16	8	2
"Racial Residential Segregation by State Court Enforcement of Restrictive Agreements, Covenants or Conditions in Deeds is Unconstitutional"	http://scholarship.law.berkeley.edu/californialawreview/vol33/iss1/2	7/20/2012	16	16	1
The Takings Clause: In Search of Underlying Principles--Part I--A Critique of Current Takings Clause Doctrine	http://scholarship.law.berkeley.edu/facpubs/1519	9/20/2012	16	18	0
Legislative Pardons: Another View	http://scholarship.law.berkeley.edu/californialawreview/vol27/iss4/2	7/24/2012	16	2	0
Stability and Change in Judicial Decision-Making: Incrementalism or Stare Decisis	http://scholarship.law.berkeley.edu/facpubs/2154	8/15/2013	16	17	1
Real Bias: How REAL ID's Credibility and Corroboration Requirements Impair Sexual Minority Asylum Applicants	http://scholarship.law.berkeley.edu/bglj/vol24/iss1/1	9/24/2013	16	19	1
Full Faith and Credit to Judgments: Law and Reason Versus the Restatement Second	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss1/13	7/17/2012	16	20	0
National Railroad Passenger Corporation v. Morgan: A Problematic Formulation of the Continuing Violation Theory	http://scholarship.law.berkeley.edu/californialawreview/vol91/iss5/5	7/9/2012	16	5	2
Contract Rights and Property Rights: A Case Study in the Relationship between Individual Liberties and Constitutional Structure	http://scholarship.law.berkeley.edu/californialawreview/vol76/iss2/1	7/10/2012	16	11	0
Against Dicta: A Legal Method for Rescuing Fair Use from the Right of First Publication	http://scholarship.law.berkeley.edu/californialawreview/vol89/iss2/3	7/10/2012	16	6	1
Methods of Estimating Depreciation in Valuation of Public Utilities for Rate Making Purposes	http://scholarship.law.berkeley.edu/californialawreview/vol5/iss1/1	7/24/2012	16	7	2
Commercial Arbitration in California	http://scholarship.law.berkeley.edu/californialawreview/vol15/iss4/2	7/24/2012	16	26	0
Linking Rule of Law and Trade Liberalization in Jamaica	http://scholarship.law.berkeley.edu/bjalp/vol7/iss1/4	4/26/2013	16	33	3
Tax Problems Incident to Divorce and Property Settlement	http://scholarship.law.berkeley.edu/californialawreview/vol49/iss4/4	7/19/2012	16	16	0
"Resisting Medicine, Re/modeling Gender"	http://scholarship.law.berkeley.edu/bglj/vol18/iss1/2	9/24/2013	16	6	1
Pollution Markets and Social Equity: Analyzing the Fairness of Cap and Trade	http://scholarship.law.berkeley.edu/facpubs/2047	8/15/2013	16	12	0
Consideration and the Law of Trusts	http://scholarship.law.berkeley.edu/californialawreview/vol14/iss3/2	7/24/2012	16	6	0
Badger Revisited: Implications for the Implementation of the Transfer of Technology Code	http://scholarship.law.berkeley.edu/bjil/vol1/iss1/4	9/23/2012	16	16	2
Sindell v. Abbott Laboratories: A Market Share Approach to DES Causation	http://scholarship.law.berkeley.edu/californialawreview/vol69/iss4/12	7/17/2012	16	10	1
European Convention for the Protection of Human Rights and Fundamental Freedoms	http://scholarship.law.berkeley.edu/californialawreview/vol44/iss1/5	7/19/2012	16	19	0
The Sexual Psychopath Act in Practice: A Critical Discussion	http://scholarship.law.berkeley.edu/californialawreview/vol43/iss5/2	7/19/2012	16	19	0
Toward Effective Criminal Discovery in California--A Practitioner's View	http://scholarship.law.berkeley.edu/californialawreview/vol56/iss4/4	7/17/2012	16	14	0
Afterword & Prlogue: Queer Legal Theory	http://scholarship.law.berkeley.edu/californialawreview/vol83/iss1/16	7/10/2012	16	16	1
The Partnership Conception of Democracy	http://scholarship.law.berkeley.edu/californialawreview/vol86/iss3/4	7/10/2012	16	15	0
Concept of Ordered Liberty: A New Case	http://scholarship.law.berkeley.edu/californialawreview/vol47/iss2/2	7/19/2012	16	19	0
Intelletual Property and the Digital Economy: Why the Anti-Circumvention Regulations Need to Be Revised	http://scholarship.law.berkeley.edu/facpubs/162	9/17/2012	16	2	0
Woman Warrior Meets Mail-Order Bride: Finding an Asian American Voice in the Women's Movement	http://scholarship.law.berkeley.edu/bglj/vol18/iss1/6	9/24/2013	16	16	3
Manufacturer's Responsibility for Defective Products: Continuing Controversy over the Law to be Applied	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss4/13	7/17/2012	16	24	2
The Harriman Manganese Concession in the Soviet Union: Lessons for Today	http://scholarship.law.berkeley.edu/bjil/vol9/iss1/5	9/24/2012	16	14	0
"Beyond Lessig's Code for Internet Privacy: Cyberspace Filters, Privacy Control, and Fair Information Practices"	http://scholarship.law.berkeley.edu/facpubs/423	9/18/2012	16	18	0
The Giving Reasons Requirement	http://scholarship.law.berkeley.edu/facpubs/351	9/17/2012	16	10	0
Taking Responsibility: Moral and Historical Perspectives on the Japanese War-Reparations Issues	http://scholarship.law.berkeley.edu/bjil/vol20/iss1/10	9/24/2012	16	17	1
The Line Item Veto Case and the Separation of Powers	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss1/8	7/10/2012	16	40	0
Priority and Novelty Under the AIA	http://scholarship.law.berkeley.edu/facpubs/1889	3/26/2013	16	38	5
Implied Condition of Survivorship in Gifts of Future Interests in California	http://scholarship.law.berkeley.edu/californialawreview/vol40/iss1/4	7/20/2012	16	13	0
"Fish, Farms, and the Clash of Cultures in the Klamath Basin"	http://scholarship.law.berkeley.edu/facpubs/719	9/18/2012	16	14	0
Creating Legal Doctrine	http://scholarship.law.berkeley.edu/facpubs/2067	8/15/2013	16	11	0
Contractual Ordering of Marriage: A New Model for State Policy	http://scholarship.law.berkeley.edu/facpubs/1397	9/20/2012	16	8	2
Viewpoint Diversity and Media Consolidation: An Empirical Study	http://scholarship.law.berkeley.edu/facpubs/1291	9/18/2012	16	11	0
Federal Rule of Evidence 804(b)(3) and Inculpatory Statements against Penal Interest	http://scholarship.law.berkeley.edu/californialawreview/vol66/iss6/2	7/17/2012	16	13	0
Tapping into California's Central Valley's Hidden Wealth: Its Rich Cultural Capital	http://scholarship.law.berkeley.edu/bjalp/vol9/iss2/3	4/26/2013	16	61	0
"Race, Radicalism, and Reform: Historical Perspective on the 1879 California Constitution"	http://scholarship.law.berkeley.edu/facpubs/268	9/17/2012	16	10	0
Vagrancy Concepts in Welfare Law	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss2/10	7/17/2012	16	24	1
My Lai Massacre: The Need for an International Investigation	http://scholarship.law.berkeley.edu/californialawreview/vol58/iss3/3	7/17/2012	16	14	0
Electronic Eavesdropping: A New Approach	http://scholarship.law.berkeley.edu/californialawreview/vol52/iss1/8	7/17/2012	16	5	1
Executive Privilege and Congressional Investigatory Power	http://scholarship.law.berkeley.edu/californialawreview/vol47/iss1/2	7/19/2012	16	11	0
Democratic Dissolution: Radical Experimentation in State Takeovers of Local Governments	http://scholarship.law.berkeley.edu/facpubs/1943	8/15/2013	16	8	2
The Role of Economic Contracts in Communist China	http://scholarship.law.berkeley.edu/californialawreview/vol53/iss4/4	7/17/2012	16	11	0
Classification of the Law of Trusts	http://scholarship.law.berkeley.edu/californialawreview/vol1/iss3/1	7/24/2012	16	15	0
The Warranty of Habitability Debate: A California Case Study	http://scholarship.law.berkeley.edu/californialawreview/vol66/iss1/2	7/17/2012	16	20	1
Foreword	http://scholarship.law.berkeley.edu/californialawreview/vol83/iss1/2	7/10/2012	16	21	0
Contract Law and Modern Economic Theory	http://scholarship.law.berkeley.edu/facpubs/1535	9/20/2012	16	18	0
Database Limitations on the Evidentiary Value of Forensic Mitochondrial DNA Evidence	http://scholarship.law.berkeley.edu/facpubs/982	9/18/2012	16	11	1
Bulk Cash Smuggling and the Globalization of Crime: Overcoming Constitutional Challenges to Forfeiture under 31 U.S.C. 5332	http://scholarship.law.berkeley.edu/bjil/vol22/iss1/5	9/24/2012	16	15	2
Collateral Estoppel Effect of State Court Judgment in Federal Antitrust Suits	http://scholarship.law.berkeley.edu/californialawreview/vol51/iss5/6	7/17/2012	16	17	1
A Bibliography: The Published Works of Albert A. Ehrenzweig	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss4/11	7/17/2012	16	6	0
"A More Meaningful Citizenship Test - Unmasking the Construction of a Universalist, Principle-Based Citizenship Ideology"	http://scholarship.law.berkeley.edu/californialawreview/vol96/iss4/4	7/9/2012	16	6	1
Rodrigo's Eleventh Chronicle: Empathy and False Empathy	http://scholarship.law.berkeley.edu/californialawreview/vol84/iss1/2	7/10/2012	16	9	1
"Anyone Minding Stonehenge--The Origins of Cultural Property Protection in England, Is"	http://scholarship.law.berkeley.edu/facpubs/1527	9/20/2012	16	5	0
Appropriations for the Abolitionists: Undermining Effects of the U.S. Mandatory Anti-Prostitution Pledge in the Fight against Human Trafficking and HIV/AIDS	http://scholarship.law.berkeley.edu/bglj/vol21/iss1/7	9/24/2013	16	20	0
Choice of Law: Current Doctrine and True Rules	http://scholarship.law.berkeley.edu/californialawreview/vol49/iss2/3	7/19/2012	16	17	2
Choice of Law in Products Liability	http://scholarship.law.berkeley.edu/californialawreview/vol60/iss1/1	7/17/2012	16	14	1
Doing Away with Tort Law	http://scholarship.law.berkeley.edu/californialawreview/vol73/iss3/2	7/10/2012	16	5	1
"Lesbian, Gay and Bisexual Rights and the Civil Rights Agenda"	http://scholarship.law.berkeley.edu/bjalp/vol1/iss1/3	4/26/2013	16	11	0
Cooper v. Ateliers de la Motobecane S.A.: Pre-Award Attachment under the New York Convention	http://scholarship.law.berkeley.edu/bjil/vol1/iss1/9	9/23/2012	16	15	4
"Civil Discovery: Lawyers' Views of Its Effectiveness, Its Principal Problems and Abuses"	http://scholarship.law.berkeley.edu/facpubs/321	9/17/2012	16	12	1
"Critical Legal Studies, Asian Americans in U.S. Law & Culture, Neil Gotanda, and Me"	http://scholarship.law.berkeley.edu/aalj/vol4/iss1/3	9/10/2013	16	6	0
The Filipino Veterans Equity Movement: A Case Study in Reparations Theory	http://scholarship.law.berkeley.edu/californialawreview/vol98/iss2/7	7/9/2012	16	20	0
Public Choice and Just Compensation	http://scholarship.law.berkeley.edu/facpubs/1773	9/20/2012	16	3	0
Independent Appellate Review of Knowledge of Falsity in Defamation and False Statements Cases	http://scholarship.law.berkeley.edu/bjcl/vol15/iss2/3	2/15/2013	16	17	0
Unpacking Adaptation: The Female Inheritance Movement in Hong Kong	http://scholarship.law.berkeley.edu/facpubs/1789	9/25/2012	16	3	0
The Legality of Promoting Inclusiveness: Why the University of California May and Should Use Race and Ethnicity as Factors in Applicant Outreach	http://scholarship.law.berkeley.edu/facpubs/608	9/18/2012	16	27	2
Better Way Forward for State Taxation of E-Commerce A	http://scholarship.law.berkeley.edu/facpubs/1700	9/20/2012	16	10	5
In Re Gault: Children Are People	http://scholarship.law.berkeley.edu/californialawreview/vol55/iss4/20	7/17/2012	16	28	0
The Identity of Legal Systems	http://scholarship.law.berkeley.edu/californialawreview/vol59/iss3/11	7/17/2012	16	11	1
What is the Role of International Human Rights in the War on Terror	http://scholarship.law.berkeley.edu/facpubs/1256	9/18/2012	16	9	0
Public Interest Lawyers and Resistance Movements	http://scholarship.law.berkeley.edu/californialawreview/vol95/iss5/3	7/9/2012	16	4	0
The Religion Clauses of the First Amendment: Reconciling the Conflict	http://scholarship.law.berkeley.edu/facpubs/971	9/18/2012	16	21	2
Straight out of the Closet	http://scholarship.law.berkeley.edu/bglj/vol15/iss1/4	9/24/2013	16	12	0
From Liberty to Equality: The Transformation of the Establishment Clause	http://scholarship.law.berkeley.edu/californialawreview/vol90/iss3/1	7/10/2012	16	4	0
Of Mabrus and Zorgs--An Essay in Honor of David Louisell	http://scholarship.law.berkeley.edu/californialawreview/vol66/iss5/3	7/17/2012	16	3	0
California and the Uniform Stock Transfer Act	http://scholarship.law.berkeley.edu/californialawreview/vol19/iss2/2	7/24/2012	16	15	4
African American Men's Health and Incarceration: Access to Care upon Reentry and Eliminating Invisible Punishments	http://scholarship.law.berkeley.edu/bglj/vol26/iss2/1	9/24/2013	15	14	0
A Causation Approach to Criminal Omissions	http://scholarship.law.berkeley.edu/californialawreview/vol76/iss3/1	7/10/2012	15	5	2
Mens Rea and the Right to Trial by Jury	http://scholarship.law.berkeley.edu/californialawreview/vol76/iss2/4	7/10/2012	15	13	0
Valuing Student Speech: The Work of the Schools as Conceptual Development	http://scholarship.law.berkeley.edu/californialawreview/vol79/iss5/3	7/10/2012	15	15	1
Inspiring Intolerance: The Truth about Robert Spencer - A Review of the Truth about Muhammad: Founder of the World's Most Intolerant Religion	http://scholarship.law.berkeley.edu/aalj/vol14/iss1/8	9/10/2013	15	10	2
"Gutenberg's Legacy: Copyright, Censorship, and Religious Pluralism"	http://scholarship.law.berkeley.edu/californialawreview/vol91/iss2/2	7/9/2012	15	14	0
The Patient or His Victim: The Therapist's Dilemma	http://scholarship.law.berkeley.edu/californialawreview/vol62/iss3/10	7/17/2012	15	12	0
"Marriage Inequality: Same-Sex Relationships, Religious Exemptions, and the Production of Sexual Orientation Discrimination"	http://scholarship.law.berkeley.edu/californialawreview/vol100/iss5/8	2/7/2013	15	17	0
The Interest of a Wife in California Community Property	http://scholarship.law.berkeley.edu/californialawreview/vol22/iss4/3	7/24/2012	15	14	2
Livingston v. Jefferson- A Freestanding Footnote	http://scholarship.law.berkeley.edu/californialawreview/vol75/iss1/5	7/10/2012	15	5	0
Melendez-Diaz v. Massachusetts: Raising the Confrontation Requirements for Forensic Evidence in California	http://scholarship.law.berkeley.edu/bjcl/vol14/iss2/3	2/15/2013	15	10	1
Remarks from the Investiture of Judge William A. Fletcher	http://scholarship.law.berkeley.edu/californialawreview/vol87/iss3/1	7/10/2012	15	8	0
"Jewish Women, Black Women: Guarding against the Oppression of Surrogacy"	http://scholarship.law.berkeley.edu/bglj/vol8/iss1/3	9/24/2013	15	13	1
"Tortuous Path, Elusive Goal: The Asian Quest for American Citizenship"	http://scholarship.law.berkeley.edu/aalj/vol2/iss1/3	9/10/2013	15	8	0
Why the Supreme Court Should Not Have Decided the Presidential Election of 2000	http://scholarship.law.berkeley.edu/facpubs/286	9/17/2012	15	22	0
Private Ordering Through Negotiation: Dispute-Settlement and Rulemaking	http://scholarship.law.berkeley.edu/facpubs/2035	8/15/2013	15	5	0
The Non-Retrogression Principle in Constitutional Law	http://scholarship.law.berkeley.edu/californialawreview/vol86/iss6/1	7/10/2012	15	15	1
Beyond Public/Private: Understanding Excessive Corporate Prerogative	http://scholarship.law.berkeley.edu/facpubs/1984	8/15/2013	15	9	2
"Psychic Charlatans, Roving Shoplifters, and Traveling Con Artists: Notes on a Fraudulent Identity"	http://scholarship.law.berkeley.edu/bglj/vol22/iss1/2	9/24/2013	15	12	0
"Color-Blindness, Racism-Blindness, and Racism-Awareness: Revisiting Judge Henderson's Proposition 209 Decision"	http://scholarship.law.berkeley.edu/facpubs/121	9/17/2012	15	29	1
The Value of the Human Egg: An Analysis of Risk and Reward in Stem Cell Research	http://scholarship.law.berkeley.edu/bglj/vol22/iss1/6	9/24/2013	15	16	0
Extensions of Time and Conditions of Notice: California's Needless Restriction of Contractual Freedom	http://scholarship.law.berkeley.edu/facpubs/1144	9/18/2012	15	19	0
Bilateral Regionalism: Paradoxes of East Asian Integration	http://scholarship.law.berkeley.edu/bjil/vol25/iss3/4	9/24/2012	15	13	1
A Suggested Test for Application of the Main Purpose Rule under the Statute of Frauds	http://scholarship.law.berkeley.edu/californialawreview/vol36/iss3/3	7/20/2012	15	8	0
Methodology and Criteria in Due Process Adjudication--A Survey and Criticism	http://scholarship.law.berkeley.edu/facpubs/1340	9/18/2012	15	29	0
"Outsider Jurisprudence, Critical Pedogogy and Social Justice Activism: Marking the Stirrings of Critical Legal Education"	http://scholarship.law.berkeley.edu/aalj/vol10/iss1/7	9/10/2013	15	12	0
The Refuse Act of 1899: Its Scope and Role in Control of Water Pollution	http://scholarship.law.berkeley.edu/californialawreview/vol58/iss6/5	7/17/2012	15	12	1
Applications of the Distinction between Mortgages and Trusts Deeds in California	http://scholarship.law.berkeley.edu/californialawreview/vol26/iss2/2	7/24/2012	15	16	0
The Doctrine of Constructive Trusts as Laid Down in Curdy v. Berton	http://scholarship.law.berkeley.edu/californialawreview/vol16/iss1/2	7/24/2012	15	5	0
Behavioral Advertising: The Offer You Can't Refuse	http://scholarship.law.berkeley.edu/facpubs/2086	8/15/2013	15	13	2
Testimonial Waiver of the Privilege against Self-Incrimination and Brown v. United States	http://scholarship.law.berkeley.edu/californialawreview/vol48/iss1/6	7/19/2012	15	7	1
Discovery Sanctions: A Judicial Perspective	http://scholarship.law.berkeley.edu/californialawreview/vol67/iss2/1	7/17/2012	15	26	1
Hard Lessons: The Role of Law Schools in Addressing Prosecutorial Misconduct	http://scholarship.law.berkeley.edu/bjcl/vol16/iss2/3	2/15/2013	15	21	6
Is There Such a Thing as “Virtual Crime”?	http://scholarship.law.berkeley.edu/bjcl/vol4/iss1/3	2/19/2013	15	7	0
A Statistical Analysis of Asian Americans and the Affirmative Action Hiring of Law School Faculty	http://scholarship.law.berkeley.edu/aalj/vol3/iss1/3	9/10/2013	15	10	0
German Reparations after the Second World War	http://scholarship.law.berkeley.edu/bjalp/vol6/iss1/5	4/26/2013	15	8	2
James Madison and Judicial Review	http://scholarship.law.berkeley.edu/californialawreview/vol28/iss1/2	7/24/2012	15	29	4
International High-Technology Joint Ventures: An Antitrust and Antidumping Analysis	http://scholarship.law.berkeley.edu/bjil/vol7/iss1/2	9/23/2012	15	3	1
Games with Guns and Statistics	http://scholarship.law.berkeley.edu/facpubs/315	9/17/2012	15	19	3
Is Contributory Negligence of Deceased a Defense to a Wrongful Death Action	http://scholarship.law.berkeley.edu/californialawreview/vol42/iss2/3	7/19/2012	15	15	1
The Case or Controversy Requirement in State Court Adjudication of Federal Questions	http://scholarship.law.berkeley.edu/facpubs/1528	9/20/2012	15	2	0
"Collective Action Federalism: A General Theory of Article I, Section 8"	http://scholarship.law.berkeley.edu/facpubs/1304	9/18/2012	15	16	0
Achieving Knowing and Voluntary Consent in Pre-Dispute Mandatory Arbitration Agreements at the Contracting Stage of Employment	http://scholarship.law.berkeley.edu/californialawreview/vol90/iss4/4	7/10/2012	15	9	1
Syllabus: Asian Pacific Americans and the Law	http://scholarship.law.berkeley.edu/aalj/vol10/iss1/8	9/10/2013	15	8	0
