Full-Text Downloads for 2012-02-01 through 2013-09-20 for Berkeley Law Scholarship Repository																						
Title	URL	First published	2/1/2012	3/1/2012	4/1/2012	5/1/2012	6/1/2012	7/1/2012	8/1/2012	9/1/2012	10/1/2012	11/1/2012	12/1/2012	1/1/2013	2/1/2013	3/1/2013	4/1/2013	5/1/2013	6/1/2013	7/1/2013	8/1/2013	9/1/2013
The End of Duffield and the Rise of Mandatory Arbitration: How Courts Misinterpreted the Civil Rights Act's Arbitration Provision	http://scholarship.law.berkeley.edu/californialawreview/vol93/iss1/5	7/9/2012	0	0	0	0	0	2	2	3	37	5	26	10	13	30	6	3	7	3	4	0
The Morality of Criminal Law: A Symposium in Honor of Professor Sanford Kadish	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss3/1	7/10/2012	0	0	0	0	0	2	3	2	2	1	1	3	3	2	0	4	1	1	4	3
Indian Common Law: The Role of Custom in American Indian Tribal Courts (Part I of II)	http://scholarship.law.berkeley.edu/facpubs/1029	9/18/2012	0	0	0	0	0	0	0	1	6	9	2	4	6	1	0	1	3	1	3	1
VII. Evidence	http://scholarship.law.berkeley.edu/californialawreview/vol61/iss2/10	7/17/2012	0	0	0	0	0	3	1	3	2	4	0	4	4	4	1	0	2	0	2	0
Between Empire and Community: The United States and Multilateralism 2001-2003: A Mid-Term Assessment	http://scholarship.law.berkeley.edu/bjil/vol21/iss3/1	9/24/2012	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	6	2	2	4	0
Contest and Consent: A Legal History of Marital Rape	http://scholarship.law.berkeley.edu/californialawreview/vol88/iss5/2	7/10/2012	0	0	0	0	0	22	20	56	113	151	122	239	207	222	189	166	80	72	79	66
Laches and Abandonment in the Law of Reissued and Divisional Patents	http://scholarship.law.berkeley.edu/californialawreview/vol45/iss2/4	7/19/2012	0	0	0	0	0	3	3	3	3	4	9	9	6	6	8	10	7	1	13	4
"The Chinese Struggle for Civil Rights in Nineteenth Century America: The First Phase, 1850-1870"	http://scholarship.law.berkeley.edu/facpubs/1426	9/20/2012	0	0	0	0	0	0	0	0	21	16	11	13	41	13	9	7	6	8	3	3
The New Servitudes	http://scholarship.law.berkeley.edu/facpubs/1742	9/20/2012	0	0	0	0	0	0	0	2	6	4	4	11	25	10	6	21	3	16	5	1
Inching Toward A Land Ethic: Wildlife Law in Transition	http://works.bepress.com/joseph_sax/25	11/19/2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intervention of Right in Class Actions: The Dilemma of Federal Rule of Civil Procedure 24(a)(2)	http://scholarship.law.berkeley.edu/californialawreview/vol50/iss1/5	7/19/2012	0	0	0	0	0	5	1	8	2	2	4	9	3	6	4	9	6	3	0	2
Rules of the American Arbitration Association	http://scholarship.law.berkeley.edu/bjil/vol4/iss2/16	9/24/2012	0	0	0	0	0	0	0	0	17	25	12	28	19	34	49	79	86	68	41	32
Saving Overton Park: A Comment on Environmental Values	http://scholarship.law.berkeley.edu/facpubs/155	9/17/2012	0	0	0	0	0	0	0	0	5	0	2	9	13	5	3	2	2	0	1	0
The European Community's Value-Added Tax System: Analysis of the New Transitional Regime and Prospects for Further Harmonization	http://scholarship.law.berkeley.edu/bjil/vol12/iss1/1	9/24/2012	0	0	0	0	0	0	0	0	12	11	10	20	16	4	8	7	2	8	4	3
Flying while Brown: Federal Civil Rights Remedies to Post-9/11 Airline Racial Profiling of South Asians	http://scholarship.law.berkeley.edu/aalj/vol10/iss2/4	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Freedom of Expression and the Civic Republican Revival in Constitutioal Theory: The Ominous Implications	http://scholarship.law.berkeley.edu/californialawreview/vol79/iss2/1	7/10/2012	0	0	0	0	0	3	4	10	17	6	7	17	10	7	5	8	6	8	2	7
How Resource Disparity Makes the Death Penalty Unconstitutional: An Eighth Amendment Argument Against Structurally Imbalanced Capital Trials	http://scholarship.law.berkeley.edu/bjcl/vol17/iss2/4	2/22/2013	0	0	0	0	0	0	0	0	0	0	0	0	6	20	25	11	11	4	4	4
European Convention for the Protection of Human Rights and Fundamental Freedoms	http://scholarship.law.berkeley.edu/californialawreview/vol44/iss1/5	7/19/2012	0	0	0	0	0	1	1	3	5	7	7	10	5	13	9	10	12	5	7	11
The Modern Family Unit: Toward a More Inclusive Vision of the Family in Immigration Law	http://scholarship.law.berkeley.edu/californialawreview/vol96/iss4/5	7/9/2012	0	0	0	0	0	9	3	12	3	18	3	21	20	2	3	2	0	3	3	3
"Toward an Asian American Legal Scholarship: Critical Race Theory, Post-Structuralism, and Narrative Space "	http://scholarship.law.berkeley.edu/aalj/vol1/iss1/1	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Sexual Psychopath Act in Practice: A Critical Discussion	http://scholarship.law.berkeley.edu/californialawreview/vol43/iss5/2	7/19/2012	0	0	0	0	0	1	2	9	7	21	17	14	11	7	12	10	4	17	2	1
Serious Tort Law Reform	http://scholarship.law.berkeley.edu/facpubs/558	9/18/2012	0	0	0	0	0	0	0	0	5	5	9	7	5	2	1	3	9	4	0	1
Damages for Breach of Contract	http://scholarship.law.berkeley.edu/facpubs/1449	9/20/2012	0	0	0	0	0	0	0	1	92	68	70	87	109	146	152	200	139	140	124	115
"The 200,000 Cards of Dimitri Yurasov: Further Reflections on Scholarship and Truth"	http://scholarship.law.berkeley.edu/facpubs/1045	9/18/2012	0	0	0	0	0	0	0	0	4	9	7	9	3	4	8	8	3	1	3	1
Do Lawyers Cause Adversarial Legalism--A Preliminary Inquiry	http://scholarship.law.berkeley.edu/facpubs/375	9/17/2012	0	0	0	0	0	0	0	1	23	14	18	26	42	16	8	11	16	10	26	12
State Regulation and the Dormant Commerce Clause	http://scholarship.law.berkeley.edu/facpubs/308	9/17/2012	0	0	0	0	0	0	0	0	13	12	15	26	30	13	12	16	7	4	2	7
Related Contacts and Personal Jurisdiction: The But for Test	http://scholarship.law.berkeley.edu/californialawreview/vol82/iss6/3	7/10/2012	0	0	0	0	0	4	5	26	31	30	50	18	45	53	26	32	15	19	6	7
"Scrutinizing Strict Scrutiny: Environmental Justice after Adarand Constructors, Inc. v. Pena"	http://scholarship.law.berkeley.edu/bjalp/vol11/iss1/9	4/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	4	8	15	4
"Choice, Dependence, and the Reinvigoration of the Traditional Family"	http://works.bepress.com/kathryn_abrams/87	2/14/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
How Would You Like to Pay for That? The Strategic Effects of Fee Arrangements on Settlement Terms	http://works.bepress.com/andrew_guzman/36	4/24/2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dollar Diplomacy/Dollar Defense: The Fabric of Economics and National Security Law	http://scholarship.law.berkeley.edu/facpubs/590	9/18/2012	0	0	0	0	0	0	0	0	11	13	16	18	20	4	6	3	10	4	3	4
California's Response to the Problems of Procurring Human Remains for Transplantation	http://scholarship.law.berkeley.edu/californialawreview/vol57/iss3/7	7/17/2012	0	0	0	0	0	1	2	2	4	1	2	6	0	5	7	5	3	4	2	2
"Modeling Climate Change and Its Impacts: Law, Policy, and Science"	http://works.bepress.com/daniel_farber/74	9/17/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Why the Supreme Court Should Not Have Decided the Presidential Election of 2000	http://scholarship.law.berkeley.edu/facpubs/286	9/17/2012	0	0	0	0	0	0	0	0	14	3	7	6	2	8	5	8	3	3	0	6
Heeding the Alarm: A Reaffirmation of the Principles of Refugee Protection	http://scholarship.law.berkeley.edu/facpubs/1966	8/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Toward Effective Criminal Discovery in California--A Practitioner's View	http://scholarship.law.berkeley.edu/californialawreview/vol56/iss4/4	7/17/2012	0	0	0	0	0	0	7	5	5	4	13	16	19	22	13	16	12	16	11	9
The 1953 International North Pacific Fisheries Convention: Half-Century Anniversary of a New Department in Ocean Law	http://scholarship.law.berkeley.edu/facpubs/1392	9/18/2012	0	0	0	0	0	0	0	1	3	8	18	2	0	0	0	1	1	0	1	0
Putative Partners: Protecting Couples from the Consequences of Technically Invalid Domestic Partnerships	http://scholarship.law.berkeley.edu/californialawreview/vol95/iss5/8	7/9/2012	0	0	0	0	0	9	5	14	9	18	11	34	28	26	11	8	5	12	6	4
Nolo Contendere--Its Use and Effect	http://scholarship.law.berkeley.edu/californialawreview/vol52/iss2/8	7/17/2012	0	0	0	0	0	1	8	13	4	15	14	31	22	22	21	36	20	27	26	16
Property	http://scholarship.law.berkeley.edu/californialawreview/vol63/iss1/14	7/17/2012	0	0	0	0	0	0	2	6	7	1	2	2	1	0	0	1	1	0	1	0
Breaking the Ice:  The Canadian-American Dispute over the Arctic's Northwest Passage	http://scholarship.law.berkeley.edu/facpubs/1865	12/7/2012	0	0	0	0	0	0	0	0	0	0	8	30	32	7	24	4	9	6	6	4
The Bankruptcy Commission's Proposal Regarding Bankrupts' Exemption Rights	http://scholarship.law.berkeley.edu/californialawreview/vol63/iss6/9	7/17/2012	0	0	0	0	0	0	3	4	0	7	2	31	7	3	2	4	1	0	1	2
Blind Dates: When Should the Statute of Limitations Begin to Run on a Method-of-Execution Challenge	http://works.bepress.com/ty_alper/3	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A Cite-Checker's Guide to Sexual Dangerousness	http://scholarship.law.berkeley.edu/bjcl/vol13/iss1/3	2/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	12	8	1	7	2
A Legacy of Accomplishment	http://scholarship.law.berkeley.edu/californialawreview/vol71/iss4/6	7/10/2012	0	0	0	0	0	0	1	3	0	0	2	0	0	0	1	0	0	0	1	1
Thirteenth Amendment and Freedom of Choice in Personal Service Occupations A Reappraisal	http://scholarship.law.berkeley.edu/facpubs/1084	9/18/2012	0	0	0	0	0	0	0	0	4	9	13	16	51	43	72	92	33	28	20	49
"On Love, Leadership, and Learning from Our History"	http://scholarship.law.berkeley.edu/aalj/vol13/iss1/5	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Turning Servile Opportunities to Gold: A Strategic Analysis of the Corporate Opportunities Doctrine	http://scholarship.law.berkeley.edu/facpubs/35	9/17/2012	0	0	0	0	0	0	0	1	29	41	35	34	19	16	24	37	29	28	13	8
Two Problems in Possession	http://scholarship.law.berkeley.edu/californialawreview/vol17/iss4/3	7/24/2012	0	0	0	0	0	0	3	4	1	6	8	4	5	8	4	3	9	2	3	1
Preferred Stock--Law and Draftsmanship	http://scholarship.law.berkeley.edu/californialawreview/vol42/iss2/2	7/19/2012	0	0	0	0	0	3	4	12	20	36	22	50	45	45	43	16	27	20	29	21
Custody of Children in California: Jurisdictional Requirements and Conflicts	http://scholarship.law.berkeley.edu/californialawreview/vol37/iss3/5	7/20/2012	0	0	0	0	0	2	4	4	7	7	4	6	15	11	7	13	13	6	3	6
Limited Partners' Liability for Impermissible Control Activity under the Revised California Limited Partnership Statute	http://works.bepress.com/richard_buxbaum/28	9/24/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Introduction of Justice Ruth Bader Ginsberg	http://scholarship.law.berkeley.edu/californialawreview/vol95/iss6/6	7/9/2012	0	0	0	0	0	0	0	1	1	4	4	4	3	6	2	0	1	0	0	7
Beyond Breard	http://scholarship.law.berkeley.edu/bjil/vol17/iss2/1	9/24/2012	0	0	0	0	0	0	0	0	0	5	3	0	2	2	0	2	2	1	2	1
Epilogue: A South African Perspective	http://scholarship.law.berkeley.edu/bjil/vol15/iss1/6	9/24/2012	0	0	0	0	0	0	0	0	3	3	1	4	2	4	7	1	2	3	2	1
Passion and the Asian American Legal Scholar	http://scholarship.law.berkeley.edu/aalj/vol3/iss1/5	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Misappropriation of Funds By Fiducaries the Bank's Liability	http://scholarship.law.berkeley.edu/californialawreview/vol6/iss3/1	7/24/2012	0	0	0	0	0	0	0	10	7	8	15	14	14	11	14	13	10	7	13	5
The Depublication Practice of the California Supreme Court	http://scholarship.law.berkeley.edu/californialawreview/vol72/iss4/6	7/10/2012	0	0	0	0	0	3	6	7	21	6	9	18	13	9	19	13	9	7	3	8
Is Nanotechnology Prohibited by the Biological and Chemical Weapons Conventions	http://scholarship.law.berkeley.edu/bjil/vol22/iss2/4	9/24/2012	0	0	0	0	0	0	0	0	25	9	16	25	22	98	67	67	47	51	42	142
The Right to Effective Mental Treatment	http://scholarship.law.berkeley.edu/californialawreview/vol62/iss3/8	7/17/2012	0	0	0	0	0	1	6	7	11	11	5	15	7	3	4	6	3	10	6	3
California's Credit Card Industry	http://works.bepress.com/robert_cooter/114	7/19/2006	0	5	5	8	3	4	3	4	2	0	0	0	1	0	3	0	0	0	0	1
Attorneys' Fees in Individual and Class Action Antitrust Litigation	http://scholarship.law.berkeley.edu/californialawreview/vol60/iss6/7	7/17/2012	0	0	0	0	0	0	18	4	12	8	6	28	11	5	5	12	7	6	5	4
World Government and the Constitution of the United States	http://scholarship.law.berkeley.edu/californialawreview/vol38/iss3/3	7/20/2012	0	0	0	0	0	0	0	3	2	6	2	13	6	2	6	4	4	3	10	19
For Those Who Had No Voice: The Multifaceted Fight for Redress by and for the Comfort Women	http://scholarship.law.berkeley.edu/aalj/vol15/iss1/6	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Scholarship Initiative: A Model State Law for Elementary and Secondary School Choice	http://works.bepress.com/stephen_sugarman/125	6/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cultural Defense or False Stereotype - What Happens When Latina Defendants Collide with the Federal Sentencing Guidelines	http://scholarship.law.berkeley.edu/facpubs/102	9/17/2012	0	0	0	0	0	0	0	2	15	11	10	12	7	6	6	9	2	3	1	0
The Instructor ... Invites the Students to Share His Amazement That Self-Respecting Judges Could Ever ... Reach Such Results	http://scholarship.law.berkeley.edu/facpubs/656	9/18/2012	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0
"View from the Tower, A"	http://scholarship.law.berkeley.edu/facpubs/227	9/17/2012	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0
Radical Integration	http://scholarship.law.berkeley.edu/californialawreview/vol94/iss2/1	7/9/2012	0	0	0	0	0	6	3	7	6	4	3	11	11	4	5	2	5	0	4	2
Review Essay/The Precinct Confessional	http://works.bepress.com/charles_weisselberg/6	5/29/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Causation in Tort Law	http://scholarship.law.berkeley.edu/californialawreview/vol73/iss6/2	7/10/2012	0	0	0	0	0	16	22	46	124	143	189	213	212	91	82	111	72	51	56	60
The Scope of the Commerce Clause after Morrison	http://works.bepress.com/johnyoo/14	3/21/2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Water, Population Growth, and Endangered Species in the West"	http://scholarship.law.berkeley.edu/facpubs/1447	9/20/2012	0	0	0	0	0	0	0	1	15	23	13	13	26	15	14	6	6	0	3	1
The Generality of Neutral Principles: A Game-Theoretic Perspective	http://scholarship.law.berkeley.edu/californialawreview/vol58/iss4/2	7/17/2012	0	0	0	0	0	0	1	0	4	7	1	5	6	1	3	0	4	0	1	0
".  ""In Search of Past Harmony"", (August, 1982), pp. 42-51."	http://works.bepress.com/joseph_sax/19	11/19/2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piercing Politics: Religious Garb and Secularism in Public Schools	http://scholarship.law.berkeley.edu/aalj/vol20/iss1/3	9/7/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
The Unbearable Lightness of Being Stanley Fish	http://scholarship.law.berkeley.edu/facpubs/1062	9/18/2012	0	0	0	0	0	0	0	3	15	21	15	33	21	9	5	13	14	7	15	8
Assessing California's Hybrid Democracy	http://scholarship.law.berkeley.edu/californialawreview/vol97/iss5/5	7/9/2012	0	0	0	0	0	6	0	0	5	0	0	3	3	1	2	2	1	0	1	0
The Scope of National Power Vis-a-Vis the States: The Dispensability of Judicial Review	http://works.bepress.com/jesse_choper/14	8/21/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Legal Profession Faces New Faces: How Lawyers' Professional Norms Should Change to Serve a Changing American Population	http://scholarship.law.berkeley.edu/californialawreview/vol93/iss6/4	7/9/2012	0	0	0	0	0	12	7	4	11	14	7	10	10	2	3	4	5	7	4	5
Facilitative and Mandatory Rules in the Corporation Law(s) of the United States	http://works.bepress.com/richard_buxbaum/15	9/24/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nature, Knowledge and Profit: The Yellowstone Bioprospecting Controversy and the Core Purposes of America's National Parks"	http://works.bepress.com/holly_doremus/10	11/30/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Boat Men in Service	http://scholarship.law.berkeley.edu/californialawreview/vol30/iss6/5	7/24/2012	0	0	0	0	0	1	8	10	3	5	5	9	3	3	4	5	6	9	5	6
Foreword	http://scholarship.law.berkeley.edu/facpubs/1390	9/18/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Judicial Review: The Independent Judgment Anomaly	http://scholarship.law.berkeley.edu/californialawreview/vol44/iss2/7	7/19/2012	0	0	0	0	0	1	5	3	12	13	9	12	16	21	8	5	12	6	10	13
"Foreword to in TRANSBOUNDARY HARM IN INTERNATIONAL LAW: LESSONS FROM THE TRAIL SMELTER ARBITRATION xix-xxi (Cambridge University Press, Russell A. Miller & Rebecca Bratspies, eds.)."	http://works.bepress.com/david_caron/78	2/6/2009	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	7	1	1	0	0
"Selected Criminal-Law Cases in  the United States Supreme Court  in the 2009-2010 Term,  and a Look Ahead"	http://works.bepress.com/charles_weisselberg/3	5/29/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
“Predicting Professional Effectiveness”	http://works.bepress.com/marjorie_shultz/62	7/9/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A Message from the Grassroots: Participatory Democracy, Community Empowerment, and the Reconstruction of Urban America"	http://scholarship.law.berkeley.edu/bjalp/vol1/iss1/6	4/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	2	0	0
Committee to Defend Reproductive Rights v. Myers: Abortion Funding Restrictions as an Unconstitutional Condition	http://scholarship.law.berkeley.edu/californialawreview/vol70/iss4/8	7/17/2012	0	0	0	0	0	0	1	4	5	8	7	9	1	1	0	1	2	1	1	3
Plenary Address - Symbol and Substance in the Massachusetts Commission Report	http://scholarship.law.berkeley.edu/facpubs/1570	9/20/2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"The Foreign Sovereign Immunities Act and Human Rights Violations: One Step Forward, Two Steps Back"	http://scholarship.law.berkeley.edu/bjil/vol16/iss1/4	9/24/2012	0	0	0	0	0	0	0	0	20	26	33	41	36	22	19	23	14	11	23	10
Recent Changes in the Bank and Corporation Franchise Tax Act	http://scholarship.law.berkeley.edu/californialawreview/vol21/iss6/1	7/24/2012	0	0	0	0	0	1	1	0	0	0	0	2	1	3	0	2	3	2	1	3
Legal and Psychiatric Concepts and the Use of Psychiatric Evidence in Criminal Trials	http://scholarship.law.berkeley.edu/californialawreview/vol73/iss2/3	7/10/2012	0	0	0	0	0	3	6	3	13	10	8	13	3	7	1	4	1	0	0	4
Dedication	http://scholarship.law.berkeley.edu/californialawreview/vol63/iss4/1	7/17/2012	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Toward an Integrative Jurisprudence: Politics, Morality, History"	http://scholarship.law.berkeley.edu/californialawreview/vol76/iss4/1	7/10/2012	0	0	0	0	0	5	15	46	40	28	28	23	28	12	13	34	22	13	53	17
The Theory and Practice of the Foreign Sovereign Immunities Act: Untying the Gordian Knot	http://scholarship.law.berkeley.edu/bjil/vol5/iss1/5	9/24/2012	0	0	0	0	0	0	0	0	31	44	32	29	40	40	55	87	79	75	85	167
The Forgotten Core Meaning of the Suspension Clause	http://scholarship.law.berkeley.edu/facpubs/97	9/17/2012	0	0	0	0	0	0	0	3	10	17	12	25	24	13	6	5	7	4	5	8
"Color at Century's End: Race in Law, Policy, and Politics"	http://scholarship.law.berkeley.edu/facpubs/1344	9/18/2012	0	0	0	0	0	0	0	0	6	4	1	0	0	0	0	0	0	0	1	0
Book Review:El Arbitraje Internacional en Law Practica Convencional Espanola (1794-1978) by M.P. Andres Saenz de Santa Maria in 79 American Journal of International Law 839-841	http://works.bepress.com/david_caron/150	3/9/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Syllabus: Asian Pacific Americans and the Law	http://scholarship.law.berkeley.edu/facpubs/40	9/17/2012	0	0	0	0	0	0	0	2	5	21	5	7	6	2	0	1	1	0	5	3
Beyond Black and White: Crime and Foreignness in the News	http://scholarship.law.berkeley.edu/aalj/vol8/iss1/9	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Impact of Estate and Gift Taxes on Property Disposition	http://scholarship.law.berkeley.edu/californialawreview/vol38/iss1/3	7/20/2012	0	0	0	0	0	0	1	5	8	3	4	5	4	2	4	6	3	2	3	2
A First Appraisal of Serrano	http://works.bepress.com/stephen_sugarman/144	6/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Confrence on ""Bringing the Patient from Periphery to Center"" A Complex Sorrow: The Management of Medical Error"	http://works.bepress.com/marjorie_shultz/85	7/9/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The University and the Public: The Right of Access by Nonstudents to University Property	http://scholarship.law.berkeley.edu/californialawreview/vol54/iss1/8	7/17/2012	0	0	0	0	0	1	0	1	4	1	2	2	1	2	1	0	6	0	1	1
Introduction	http://scholarship.law.berkeley.edu/facpubs/581	9/18/2012	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1
"Pluralism, Parental Preference, and Child Custody"	http://scholarship.law.berkeley.edu/californialawreview/vol80/iss3/3	7/10/2012	0	0	0	0	0	13	10	6	33	31	28	33	23	12	11	11	11	12	6	6
Racial Realism or Racial Despair	http://scholarship.law.berkeley.edu/facpubs/538	9/18/2012	0	0	0	0	0	0	0	0	3	10	7	20	25	9	2	5	2	4	2	5
The Law and Ethics of Consent to Medical Research	http://works.bepress.com/marjorie_shultz/82	7/9/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Distinction Between Statutory and Common Law Bonds in California	http://scholarship.law.berkeley.edu/californialawreview/vol7/iss1/2	7/24/2012	0	0	0	0	0	0	2	2	3	2	3	5	5	5	9	5	6	4	4	4
On the Difference in Importance between Supreme Court Doctrine and Actual Consequences: A Review of the Supreme Court's 1996-1997 Term	http://scholarship.law.berkeley.edu/facpubs/363	9/17/2012	0	0	0	0	0	0	0	0	2	2	3	4	3	6	1	1	0	0	2	0
The Politics of Juvenile Justice: Then and Now	http://scholarship.law.berkeley.edu/facpubs/208	9/17/2012	0	0	0	0	0	0	0	2	13	3	1	2	1	4	8	5	1	0	0	1
Administering Disasters	http://works.bepress.com/anne_oconnell/24	7/2/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
On Public versus Private Provision of Corporate Law	http://scholarship.law.berkeley.edu/facpubs/496	9/18/2012	0	0	0	0	0	0	0	0	1	2	1	6	2	6	0	3	1	2	0	0
Communications' Copyright Policy	http://scholarship.law.berkeley.edu/facpubs/1115	9/18/2012	0	0	0	0	0	0	0	3	3	4	3	6	12	5	3	2	0	3	1	1
Challenges and Choice for California's Great Central Valley	http://scholarship.law.berkeley.edu/aalj/vol13/iss2/6	9/10/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Redressing Transgression: In Defense of the Federal Sentencing Guidelines for Child Pornography Possession	http://scholarship.law.berkeley.edu/bjcl/vol18/iss1/2	6/23/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	9	1
Facing up to the Past: Bystanders and Transition Justice	http://scholarship.law.berkeley.edu/facpubs/450	9/18/2012	0	0	0	0	0	0	0	3	1	2	2	2	1	0	1	0	0	0	0	2
"Computer Programs, User Interfaces, and Section 102(b) of the Copyright Act of 1976: A Critique of Lotus v. Paperback"	http://scholarship.law.berkeley.edu/facpubs/1378	9/18/2012	0	0	0	0	0	0	0	2	1	0	1	1	6	2	3	3	0	1	2	1
What Law of Evidence Governs in Admiralty	http://scholarship.law.berkeley.edu/californialawreview/vol17/iss2/5	7/24/2012	0	0	0	0	0	0	0	0	3	2	0	3	2	0	3	2	4	4	2	0
Marriage as Punishment	http://works.bepress.com/melissa_murray/13	5/29/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Principled Serrano Reform	http://works.bepress.com/stephen_sugarman/142	6/26/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Civil Liability of Subordinate State Officials under the Federal Civil Rights Acts and the Doctrine of Official Immunity	http://scholarship.law.berkeley.edu/californialawreview/vol44/iss5/5	7/19/2012	0	0	0	0	0	0	1	4	1	0	4	1	4	1	3	10	4	3	0	4
Private Ordering Through Negotiation: Dispute-Settlement and Rulemaking	http://scholarship.law.berkeley.edu/facpubs/2035	8/15/2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rethinking the Fair Cross-Section Requirement	http://scholarship.law.berkeley.edu/californialawreview/vol84/iss1/3	7/10/2012	0	0	0	0	0	7	14	7	26	34	28	29	32	16	18	20	16	7	7	5
A Model Regime of Privacy Protection (Version 3.0)	http://works.bepress.com/chris_hoofnagle/6	4/8/2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chapter Three: Indigenous Culture(s): A Comparative Perspective: Table of Contents	http://scholarship.law.berkeley.edu/californialawreview/vol83/iss1/9	7/10/2012	0	0	0	0	0	0	0	2	0	0	0	1	1	5	0	0	0	0	0	0
Summary Jurisdiction in Bankruptcy Related to Possible Referee Disqualification	http://scholarship.law.berkeley.edu/californialawreview/vol51/iss4/4	7/17/2012	0	0	0	0	0	0	1	1	3	6	2	4	3	0	3	2	4	4	1	0
Financial Responsibility Laws in Constitutional Perspective	http://scholarship.law.berkeley.edu/californialawreview/vol61/iss4/5	7/17/2012	0	0	0	0	0	0	3	11	10	14	9	28	11	8	1	4	4	4	1	0
The Non-Retrogression Principle in Constitutional Law	http://scholarship.law.berkeley.edu/californialawreview/vol86/iss6/1	7/10/2012	0	0	0	0	0	8	3	6	12	3	7	7	8	13	10	19	9	33	17	11
In Another Kind of Wood: Michel Foucault and Sociolegal Studies	http://scholarship.law.berkeley.edu/facpubs/275	9/17/2012	0	0	0	0	0	0	0	3	8	3	4	2	4	2	4	4	1	2	2	2
"System Justification Theory and Research: Implications for Law, Legal Advocacy, and Social Justice"	http://scholarship.law.berkeley.edu/californialawreview/vol94/iss4/5	7/9/2012	0	0	0	0	0	15	19	56	67	72	76	77	58	51	39	57	23	35	17	23
